Gene,Condition,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
Gene_013,Target,6.211378029,6.497801282,8.49606067,5.862696379,6.820948406,8.902361822,6.899025115,5.640159296,6.335230565,7.485459979,4.624397128,4.438123636,4.656082766,5.090496647,6.598508771,4.911434888,6.080799496,5.630754116,4.886360104,3.467097997
Gene_014,Target,4.478882682,4.510129547,5.047154433,6.300198678,7.293078974,6.547581059,4.866849036,3.243472604,4.611220136,5.089207223,8.845013004,8.962527968,8.684309429,6.60472565,8.849643046,7.553442784,8.1748027,8.074551177,8.428166765,8.024674983
Gene_015,Target,5.332524902,7.736495965,7.386026568,6.734348375,7.118144511,7.134038645,7.221019469,8.640846166,6.780949621,7.168065384,6.168383873,6.054181023,6.14526311,4.422531999,7.00248273,5.066700871,6.866851845,3.649097314,5.020983586,6.249914571
Gene_016,Target,4.284757813,4.247311032,4.061461296,3.947486721,4.562840467,5.331179173,2.985789502,5.211980433,6.236675046,7.037574018,9.301175992,8.756774764,6.273269601,7.398493292,7.647953543,8.703523903,7.894328666,6.741351372,9.684435708,8.911391292
Gene_017,Target,7.237430272,8.21810861,5.661225713,7.660820298,6.477087624,7.683745522,6.939178045,7.632960713,8.335517615,7.00729009,6.017558637,3.811565965,4.27839556,6.519217711,5.377387973,2.94777718,3.635962548,4.799218984,5.865779404,4.898116744
Gene_018,Target,5.624187472,5.959005378,6.671054829,5.056016733,4.948018094,3.246762641,5.099327594,4.428149942,4.025990417,4.820093769,9.014943173,6.007251511,7.572720713,8.116637284,7.10679243,8.333902942,8.411429921,7.966963841,5.534101806,10.57145815
Gene_019,Target,6.794700743,7.651193282,7.273766491,8.024673235,7.817659446,6.790206829,7.378167772,6.054591169,7.856923011,6.538961661,7.416773354,3.348951104,4.536012757,5.825379863,5.510132547,4.410518961,4.003219258,5.144475705,4.985692587,3.209718763
Gene_020,Target,5.034551067,5.190230316,5.174726397,3.944982957,5.476133278,6.378570137,5.456236403,3.86441153,4.56435453,5.34610362,7.352954369,5.842353665,8.88425082,7.170522388,7.426439729,9.503900609,7.22585507,8.84573154,6.739317121,7.645457597
Gene_021,Target,6.926443981,5.831348576,6.365251735,6.971158447,7.670695969,5.349453457,6.650245761,7.756406439,6.46119084,7.227291922,5.49222857,5.267835015,5.653257679,4.877291339,4.586323486,2.356851048,4.907058982,5.430284696,5.535398841,4.444721649
Gene_022,Target,6.77950291,5.28642442,5.126315858,6.272266779,4.281533779,4.549661376,7.39745248,5.011129187,6.633568421,3.561493355,7.809483198,8.378423904,8.300038545,6.99436374,8.019259275,6.922579347,8.712703325,9.08477509,5.775012304,9.235693462
Gene_023,Target,5.758955503,7.454769269,7.659902638,6.800110172,6.354886043,7.165321021,7.438818701,7.88330282,4.947663016,5.363620732,6.430402341,6.046628847,5.435288949,5.715178407,5.917174918,2.339077202,6.110277097,4.515012403,5.230616831,4.704842199
Gene_024,Target,5.871964954,4.651527551,5.518503766,4.609315021,3.907212791,6.21001051,5.740900011,6.724262239,5.065153933,6.125002746,9.975419054,7.718517885,6.677048887,7.760648433,7.78595876,8.151680505,9.712304977,7.673856107,8.373004656,7.772315935
Gene_025,Target,7.020450709,7.314057664,8.328214696,7.121318377,7.71284232,7.77886003,7.914773271,6.425605448,8.626881214,6.619043261,4.894215832,6.404050268,6.294083906,3.910008128,4.126929,3.641920941,5.181847193,5.164840868,5.364114687,5.552157714
Gene_026,Target,4.398107154,4.006301409,6.026785056,5.751061303,3.490833463,4.904852549,4.104052177,2.929248929,5.150120131,4.920788291,7.902630732,8.216152542,8.882465164,8.205597504,7.383564157,7.265200748,7.868197207,8.310016987,6.960319647,7.815691131
Gene_027,Target,7.96726726,6.891719909,6.301579332,6.724054832,8.114648545,7.550043961,8.2366758,7.139097857,7.410275096,6.441543088,5.605370669,4.493666458,3.579434495,5.127992966,6.945851218,5.80091434,6.16525339,5.358855723,4.391442822,4.797759145
Gene_028,Target,4.726751893,4.53130022,5.704167284,3.802636498,5.866366132,5.864152486,3.801377641,5.639491998,7.430226652,4.442784518,8.844904241,7.217798154,9.110711418,8.24982472,9.651915392,6.541029271,7.948702114,7.473074824,7.802735131,7.370421257
Gene_029,Target,6.166156419,7.578722375,5.912419286,8.484030932,5.813793415,7.101079151,7.532989287,7.586735339,6.698253336,7.079501995,5.961264152,3.543534083,4.218260288,5.320402314,4.555218022,6.370003994,5.673253863,5.072166752,3.492242682,5.026100225
Gene_030,Target,4.683584132,4.897653486,3.818440773,5.498658044,3.96104356,4.773778019,5.381425829,4.216484211,5.582991406,3.683489598,5.190225321,8.464967991,8.840539827,7.714154576,8.504126255,6.844083475,7.872851393,6.058481624,9.181180891,9.859910862
Gene_031,Target,8.07401226,6.972653034,6.966669658,5.483932377,7.790385344,6.789265819,6.343257075,5.587974207,6.700237503,6.150938865,4.60296948,3.782400012,6.687589483,4.983997473,6.074945077,2.39830033,4.54680217,4.324517708,3.777073821,6.546609154
Gene_032,Target,3.58471808,5.31839026,5.846436286,5.178190188,4.124744523,5.941165807,5.170588082,3.936502094,3.611950952,7.086717434,7.321496855,6.144428346,8.533259363,8.310230256,6.646165664,6.057043586,7.883697483,9.139396292,8.636124035,7.507062576
Gene_033,Target,6.165811768,7.271066757,7.157353347,7.629711747,6.60420205,7.899354053,6.169188473,6.6694553,7.740814524,7.989971609,3.061495299,5.107190407,5.608779012,3.549175687,5.4806256,4.17182573,6.020253012,5.538482032,5.769052295,5.120719329
Gene_034,Target,5.863648434,6.380514528,6.966248015,4.971604945,2.75094891,5.031526005,5.205561208,4.844654653,5.568288621,6.010677965,7.48201757,7.705904673,8.397842209,7.449776259,8.091267383,6.038292401,6.880100279,6.672244524,7.146376303,7.306695472
Gene_035,Target,7.382305143,7.982113003,6.272616471,6.003161018,5.958311141,6.585411274,6.760970932,7.483617534,6.678675158,4.921510731,4.908565724,6.187186811,6.191601269,4.211036782,3.452223456,7.458060492,4.837578058,4.90254875,5.420574189,3.385960543
Gene_036,Target,4.271780889,3.459557595,4.306905386,5.118849433,3.635290542,5.589982679,5.289344029,4.095784974,5.226324942,5.748081162,9.061095253,7.787151721,7.906363206,7.913285865,9.441461756,9.125071892,8.834401568,7.7126592,8.373241434,8.403290331
Gene_037,Target,5.958326706,5.271695485,7.641830028,5.470689469,7.001683688,7.250247821,7.56386739,7.189426238,6.267146194,7.98636586,6.738633767,5.881178809,3.056349099,6.399576185,4.943944054,5.524914279,5.622033236,4.903313927,4.924736802,6.019157069
Gene_038,Target,5.711601922,5.990262246,7.382926695,5.664415864,5.207381157,2.789366889,7.691714003,4.517323178,7.374734715,5.374643568,9.538430199,7.890289679,8.511470755,8.21395798,7.813879301,7.879606175,9.012834336,7.798541853,5.962317506,7.804110751
Gene_039,Target,7.539790606,7.616455716,7.616567817,5.307898479,7.368742058,7.96785921,8.276578681,6.775038729,6.678107414,8.487837832,3.332071954,4.563170023,5.457462079,3.382226235,5.279627862,6.877864021,4.995939347,4.721545975,5.474911714,4.720927829
Gene_040,Target,5.813400374,5.904435464,5.002691661,3.823307842,3.681779273,4.407002634,5.797380501,3.041794825,3.113674841,4.346220175,8.394394848,7.086433952,8.886749037,8.33336997,7.829360382,8.818828137,8.388365163,7.554064973,8.231114934,8.647513358
Gene_041,Target,7.356283345,6.341989792,7.855202205,8.152936226,7.276274557,7.144104662,6.924374919,9.161415846,7.276315532,6.841705971,2.492082198,3.434718235,4.922326799,5.206294045,5.276872459,5.82150678,4.805847591,6.214588794,4.078483957,3.79155728
Gene_042,Target,3.771013822,5.742297024,4.917080058,5.789817922,4.732293578,4.408107898,4.631647425,3.147383176,3.83038474,3.557965354,9.054322272,7.402669909,8.789459853,9.516490602,7.808225191,8.283878906,6.248932481,7.181330222,8.056214849,8.299086903
Gene_043,Target,6.240601883,9.684858999,6.541609861,7.064243557,7.649791867,6.973981365,6.356432613,8.045305664,8.615545323,6.970306029,5.562267345,4.902587501,6.016455218,3.843832606,7.320860224,4.396468752,3.541150586,4.649082173,5.146708484,6.623621208
Gene_044,Target,5.911209677,5.142458432,3.610516476,4.133962255,4.836715068,7.553026113,3.139772426,6.131054652,4.472765743,6.6659909,6.86079936,8.143623235,6.900449058,8.903516426,9.483779489,9.950721006,8.797600658,9.843266255,9.246423909,7.868125088
Gene_045,Target,7.477037238,6.028005789,6.814797831,8.220963708,7.541284143,7.457357332,5.96186896,6.39548677,6.235393986,7.39529587,4.00949237,5.56204139,3.883583588,6.828530458,5.460591349,4.298996388,5.241045933,4.647546801,5.37114796,5.243532719
Gene_046,Target,3.985885827,4.208686121,5.299593685,6.639051909,6.084617009,4.375432526,5.825922902,4.951431647,5.301313652,5.260361491,10.57544976,6.814711189,8.100919859,6.220022712,8.589835923,9.096608472,9.445662241,6.074854748,8.412769497,9.593369951
Gene_047,Target,6.585984137,6.787849468,6.963462778,7.365018751,7.665159876,8.317820884,6.90451241,7.196278045,9.487997877,7.431098928,5.188753109,3.657756875,5.002856048,4.778673847,4.98895417,4.424582359,4.313184348,4.279226368,4.785495485,6.368132648
Gene_048,Target,6.049086627,4.640024882,3.314083545,4.155416571,4.542239467,5.103638004,4.337392724,7.006680691,4.727732466,3.78605553,7.858738243,6.994622418,8.156155707,8.233633614,8.355587612,6.378141741,8.220711291,8.310450081,6.578891552,8.95536564
Gene_049,Target,7.784170879,9.299619361,7.156702987,7.046733528,7.096585834,7.069766231,5.151527225,5.328872941,6.922461033,6.418932619,5.054736525,2.888791627,3.501301745,3.898516561,5.986058221,3.901509993,4.200486046,5.079873819,4.677253638,5.146417179
Gene_050,Target,7.305061982,3.875396329,4.69453036,4.48324055,6.512395427,4.230515077,4.917913096,5.787133614,3.941409464,6.655175816,8.675762415,6.92579339,8.454577809,7.786692857,8.313228772,7.910024803,9.070516037,6.648899614,7.477383303,7.750809322
Gene_051,Target,6.004201275,5.960044956,6.982019759,6.867824867,4.450657225,8.040573456,7.249725736,9.416207373,7.685198238,6.553040691,7.797391147,7.832226024,3.781288184,5.469031956,4.788753081,5.187051147,5.227542729,3.738099537,5.28558958,6.749247363
Gene_052,Target,4.835909996,4.837073289,6.398572006,5.898396241,3.351505182,5.228556973,6.653547235,6.41527635,5.419951604,5.721220807,6.803064788,8.300131567,7.045551065,7.541981932,8.935603684,6.863106888,8.266918251,8.428332039,8.05491197,9.822188822
Gene_053,Target,5.977652671,7.606130261,6.911069433,6.739167756,7.464091234,5.979599409,5.686549083,6.505519125,8.75175715,7.055764775,5.331434398,4.810153362,5.470492732,4.048320457,6.157910467,5.58470526,4.193547177,5.054553246,5.716331619,5.557730982
Gene_054,Target,6.481934016,4.387012245,6.116136615,6.03654801,4.837516868,4.024073307,3.910854809,5.457786958,4.928873266,6.779102667,8.53513796,7.628055125,6.974457752,7.417598325,8.342888393,7.549065353,8.51423012,7.665661948,7.894440091,7.269490327
Gene_055,Target,8.905043585,7.332621731,7.23063364,5.308137585,7.6597919,5.976376411,6.108478426,7.918341171,6.547299353,5.25162772,6.76990411,2.622593075,5.57281153,6.017249249,4.369032133,5.444287051,5.439130388,6.040623153,5.484099388,4.755116221
Gene_056,Target,5.915992058,5.800622357,4.063430966,3.599212566,5.16027754,4.726037625,4.014460887,5.08393068,3.680003474,5.161226351,7.375071612,8.957164274,10.42448914,7.084020756,9.057664171,8.825149728,7.929805776,7.546353626,9.575307707,5.994542182
Gene_057,Target,6.356805208,5.563156556,8.395313439,6.809296567,6.475328801,10.18404447,6.949962732,6.556250688,7.29986525,5.431575379,5.490302643,4.903836799,5.468525123,4.017629364,3.977016158,4.306585337,4.232010427,6.299049967,6.579145562,4.843108047
Gene_058,Target,4.641063439,4.67096117,5.069236478,5.096904234,5.290034388,4.253321059,4.153103611,6.197077664,4.451372639,5.303045695,7.943029466,7.042150608,8.591061909,8.173104873,9.399783356,8.117459585,7.668454242,8.278294913,6.814408351,7.164105947
Gene_059,Target,7.510273251,6.666879099,6.934039054,6.884778291,6.349487381,4.981311341,7.34883497,7.761639508,5.711283765,8.482402718,5.385154824,6.341640295,4.042829529,5.166781288,4.899986041,5.768507432,4.424140432,4.989902328,3.221340851,4.222378557
Gene_060,Target,5.125033884,4.293678508,4.956430514,4.532074026,5.606930136,6.168488309,4.177498587,4.692963441,6.439761258,2.801076746,7.680162208,10.06470428,10.19359007,8.156595323,7.136391049,8.165457419,7.347225604,9.452817282,7.193517344,8.372911595
Gene_061,Target,7.619850075,6.242489839,7.851524682,6.252070029,7.63023983,8.096661633,6.011557078,8.107995041,6.510467129,7.294353388,5.201837472,4.572803614,5.26810287,3.769569075,4.863863128,5.825790832,2.825875351,3.512073813,3.838062442,3.410910306
Gene_062,Target,5.419583039,4.00707165,2.835452915,4.362431235,4.609364749,5.856785474,3.896247864,6.161289256,5.398362716,5.362352158,7.14747433,9.95366788,7.835729168,6.175102416,7.796143529,6.065555929,7.689489884,7.577772997,8.68182969,9.009496186
Gene_063,Target,6.273895035,7.806108868,8.42432311,6.215855995,6.347595634,7.650778363,7.18304797,7.54877496,8.404684295,7.38708312,6.05170127,5.622905462,5.43362039,5.386084438,6.291323304,3.997740126,3.894817271,5.591946003,4.880310336,5.074005212
Gene_064,Target,5.741277377,5.753295048,4.737329497,4.687456131,5.073598609,6.063017789,5.426020487,6.433007511,4.99236313,6.125667605,8.883002311,8.612083461,8.414700707,7.720117603,7.890962491,8.229395496,8.048888891,8.943224468,7.890682877,7.929623078
Gene_065,Target,6.515680912,6.861663671,6.931234358,4.686264226,5.635168303,6.92751309,6.734716225,5.799130672,5.008461824,6.64563078,5.653495766,6.773238632,4.961543206,6.493184841,5.083022158,5.115532104,5.324825313,4.129422755,4.948281787,5.908447699
Gene_066,Target,4.250274213,4.67839393,3.85222925,5.354352196,5.424799782,5.648347351,3.780189968,5.107235035,4.055942308,4.999615351,9.34262392,7.496474713,8.716683321,7.250331416,7.52147179,8.438721751,7.32088773,6.297035165,9.265168435,8.360357238
Gene_067,Target,6.416360559,5.005921213,8.902209771,10.39037082,7.207480407,7.849806648,8.224560312,6.298195566,6.64880377,5.272878963,4.263421768,5.622409783,4.709284011,4.785788466,4.887440448,3.136333018,5.837629934,3.556507111,4.791429838,4.561436538
Gene_068,Target,4.781406183,6.459965945,4.417940082,4.216902404,3.480346005,4.194301918,3.833815293,5.407946196,4.136995754,5.304042035,7.853572512,6.56643782,7.209392214,8.885112455,8.903076086,10.00557327,7.996419692,6.504173186,7.231582973,8.408488505
Gene_069,Target,8.900136335,7.110009123,8.140386825,7.768081305,5.831908378,6.828887348,8.305261536,7.87609611,7.463796142,7.477114245,4.5085947,3.680614687,6.295425791,3.579780508,4.06110408,5.628964993,3.737805451,4.448129587,3.817200493,5.620663558
Gene_070,Target,5.446313017,5.421884693,5.442464772,5.557245746,5.639356492,3.031338443,4.851183639,5.112463813,5.724676203,3.812513924,7.50039981,6.926357009,9.057240213,9.279072583,8.787676725,6.777596617,8.451952117,9.150449186,8.167940981,7.433890667
Gene_071,Target,5.913881759,6.334697204,7.714848356,6.5683389,7.22761494,8.294945796,7.57833494,8.364672781,5.298420197,6.71932372,5.065068019,5.578589292,3.830793378,5.806184855,5.307390076,5.263806014,5.508484792,4.88364156,5.925546098,5.648229774
Gene_072,Target,4.849790626,6.040377019,5.292558685,5.668751399,4.405822358,6.580431837,4.996011056,5.847842769,4.899883474,4.720370093,8.784438245,6.415383355,8.478366148,8.393566373,5.304670631,8.368377329,5.831582253,8.659804377,7.546086267,7.305063175
Gene_073,Target,6.993153697,8.373052045,6.364676923,7.558103294,7.341157868,5.820481371,5.258977983,5.007414229,7.551274211,6.965257938,6.850571704,5.573675108,5.849695891,6.334383585,4.499280902,5.510097928,5.86879327,6.369351688,5.762651146,5.421147173
Gene_074,Target,4.131775953,5.729560361,5.500265872,5.634250254,5.423645046,4.798161955,4.923134102,5.687364113,5.171631507,4.169891426,7.70984088,6.680874276,7.032968097,7.85538893,6.201867444,6.311457525,9.102565199,7.423381076,6.14830827,7.887136761
Gene_075,Target,8.321069267,7.662254297,7.441383198,8.183745912,6.228498559,7.729689191,6.412914384,7.000764186,9.214465319,7.969434396,5.768007714,3.891672088,4.21376408,7.28411648,3.906699236,5.214479375,5.89257106,6.018757972,6.089112011,4.83687101
Gene_076,Target,4.179013303,4.692742767,4.097901991,5.627068743,6.120355028,7.127213552,5.366114383,4.125218623,6.024474863,5.904758894,7.761751304,6.442145096,8.761309895,9.129144396,7.704892169,8.536242818,7.724109525,8.682315245,7.882709285,7.655324136
Gene_077,Target,7.111620498,6.716594685,6.408982836,6.684063069,6.991847848,7.207495141,8.532423622,5.642002169,6.800380949,7.631523128,6.762020903,5.426014363,4.986246584,4.69244309,5.414308164,5.98905792,4.816141689,5.163761407,5.216936344,5.729277634
Gene_078,Target,6.111380407,5.279160817,4.923829328,6.394663132,5.164534118,6.577851979,4.938077342,5.613922964,3.453911406,4.887608039,7.97820546,7.241654583,6.964107116,8.948159303,8.914158734,6.701268005,8.424378795,6.88745468,6.948926774,8.525412448
Gene_079,Target,6.313976,7.993479982,7.038523599,7.536148976,6.476373302,5.848778665,7.914752241,7.238071492,6.760932241,7.069235327,6.325908343,4.301833365,4.250591556,4.380384947,3.415008732,5.819628138,5.192369647,5.207171974,4.956652646,4.489839559
Gene_080,Target,4.176581386,5.851856403,3.573815327,5.440298942,4.207388349,5.282310215,4.259309478,4.476658317,6.769365917,5.668282619,5.855102976,8.126412416,7.548187064,6.863373812,8.20978589,8.129965516,7.671493427,9.972703567,5.751309933,8.838219387
Gene_081,Target,6.71097673,7.656513411,6.546002299,6.406135438,5.289620334,6.790551572,9.478745801,7.989702208,8.675572156,7.914965318,6.144262708,5.902876414,5.475392432,4.417471226,4.467065263,3.399160004,4.994182286,5.899355676,6.031922557,5.095132704
Gene_082,Target,4.452372383,8.290517443,5.736685531,6.420575305,4.662319359,4.962042373,5.448607098,6.676522312,4.688525455,5.853615667,5.905185366,7.492745566,6.707990923,9.113362717,7.835546912,7.609625918,9.369099846,9.116272858,7.101978797,8.427866488
Gene_083,Target,5.771555431,6.524384976,8.616577637,8.450127951,8.109018755,6.429096114,5.11856853,5.824301816,7.952556525,6.709432114,2.837391854,4.819812512,6.410239221,5.643468641,4.178741456,3.454083348,4.173452774,5.034527671,5.888073701,3.060059845
Gene_084,Target,6.023201755,5.005457727,5.56977897,3.346744437,4.33334562,4.551765811,6.043891348,6.028174047,5.435090459,6.604212182,7.4845888,9.012537194,7.96405997,7.332657904,8.923380038,9.381100331,8.878250416,7.490596545,7.530212366,9.377675847
Gene_085,Target,7.352826406,7.829573979,6.661298016,8.261034936,6.191244855,7.625351521,6.182825034,4.537424983,5.657042489,7.136295199,5.88292275,3.248697917,3.748575531,6.764545997,4.56610065,5.505700132,4.473064679,4.701417115,5.087244207,5.010961843
Gene_086,Target,4.807439789,4.530203515,1.95213911,6.8686555,6.790424208,3.898918258,4.831892478,6.375275305,5.998290023,6.276601619,6.928253082,10.5772681,6.86654004,8.753916342,8.14127598,7.596289682,7.620584202,7.008603187,9.622659796,8.089513228
Gene_087,Target,7.259217949,7.209632833,6.624829247,5.865978755,7.25372631,4.90636055,5.581433057,5.923603305,5.921321137,7.107188817,6.598487548,3.484675856,5.433676021,5.899544753,4.010467798,4.947200598,5.823610903,4.744490897,4.779315653,5.307726791
Gene_088,Target,4.939986747,4.44434711,4.861384981,6.882839792,5.87366868,4.085402927,3.755082378,4.640017759,6.328774701,5.292679118,7.298494763,8.882234568,7.866629611,6.879321501,8.461192454,9.52414281,8.434468298,8.192000371,7.343756872,8.568398531
Gene_089,Target,5.929429465,5.346850976,6.956647232,6.965406494,9.365055532,5.783652692,7.170906323,7.805053094,8.050592844,6.989275515,4.256743859,4.934215948,6.939755992,5.482739008,2.955522927,6.423459129,5.540502661,4.966428228,4.982136379,4.85021028
Gene_090,Target,5.256559481,4.496133067,5.277011252,4.068643975,5.200146875,6.106837421,5.509206114,6.033749676,3.909131238,5.054792784,8.617250303,6.931995132,9.565814337,6.965191989,8.164518709,8.15183233,8.121670302,7.789575416,8.449936787,6.968835508
Gene_091,Target,5.710635812,6.345431362,6.942675896,8.25674782,8.58745414,7.319481463,7.381591623,6.756355116,7.048053084,5.595454139,5.289933729,4.464446418,5.334678773,4.654018661,4.338384265,4.780888623,4.633095089,6.094578208,5.209208082,5.432491426
Gene_092,Target,3.759146414,6.49682171,5.159370441,4.143718597,5.309046645,5.87043403,3.616322862,6.69010697,4.841969295,6.121170781,8.072261319,7.667577155,6.165079953,6.899827781,7.9586597,8.827852545,6.118321346,9.375441112,9.398990464,6.856683744
Gene_093,Target,7.472300562,5.966360787,6.874800021,7.928662739,7.868339648,6.150825396,6.613363546,6.023836429,7.33954366,5.440924836,2.370674558,6.469812282,7.273472913,4.54496646,5.761102487,4.992497216,6.4743138,5.554143933,5.203663965,3.200863548
Gene_094,Target,6.082955681,4.649146385,3.596509915,4.798203335,4.87322184,6.059206873,3.832603968,4.442356373,6.488119928,6.358665769,9.163214544,9.661523945,8.20403098,7.418116313,8.555204062,9.058723126,10.41363327,6.035017667,8.273235703,8.654794583
Gene_095,Target,6.945401345,5.442177752,7.741500892,6.220914259,7.505861499,7.907551706,8.28395701,5.442136203,8.081741848,6.243018643,3.710980526,6.314320666,6.146259973,4.757416732,5.759540706,4.139674259,4.848968421,4.906276766,4.719259945,5.734098736
Gene_096,Target,6.537327535,4.544228937,4.967341548,6.636757349,4.670958029,2.395961829,5.513983786,4.113531989,4.001461594,6.420816814,10.44799801,6.960217459,9.031025182,7.905852162,8.141807459,9.222236701,8.213674518,7.148634646,7.529591125,8.686135255
Gene_097,Target,4.664052668,8.095244382,5.432849901,7.021931063,6.809641022,8.293069486,7.188849315,7.101939135,7.698135809,6.172985444,4.804101144,6.177584414,5.683473621,3.724503293,5.637956367,3.622410375,4.401689196,6.210920384,2.748954825,3.220985809
Gene_098,Target,6.301372673,4.185207216,6.243707019,4.831749799,5.427775678,5.81327889,4.348788131,4.695409077,4.58490283,7.816084276,8.126147069,8.472800423,7.659246459,7.758209357,9.378754669,7.66111633,8.020136303,8.376962164,7.568276255,9.959064156
Gene_099,Target,5.571540388,9.01129298,6.648408111,8.357119647,5.000822589,7.956080621,7.876431265,5.728783028,6.231676122,7.193524845,6.143835429,4.234000696,4.775874001,6.571346935,3.872652759,5.947793981,5.448768189,3.894185471,4.332132158,5.78327751
Gene_100,Target,5.248959433,6.425098277,4.398216038,3.285512304,6.047826926,4.391378382,5.120340527,6.719041814,4.749585948,6.549555327,6.90286035,8.925511236,8.246799212,7.263228461,6.719991061,8.076643664,8.255164762,8.277446817,8.536856022,7.539514434
Gene_101,Target,6.488396278,7.236937879,6.458410828,8.219227647,7.174135875,6.384731684,5.193107036,6.356318894,9.046018852,6.439237579,4.164000694,5.652947503,5.441293125,5.751629057,4.722024915,6.122654216,3.82739114,4.951123232,4.295859663,5.680758638
Gene_102,Target,5.130006761,6.109708082,7.058500869,5.140655532,4.465383348,4.176483273,4.736966018,4.930398164,6.991801915,3.870890457,6.906782563,7.59203331,8.587559463,8.82111186,7.092065301,8.127038606,7.957107022,9.19520647,9.089192237,7.687719306
Gene_103,Target,7.045993767,7.652722613,5.346507363,6.689729035,7.574872884,6.476767846,6.940081799,6.978992465,6.276346786,6.005520164,4.800132765,4.652972177,5.834095066,6.529882212,4.988077621,5.398671992,4.929584686,5.601359844,5.218495462,5.236595502
Gene_104,Target,6.112915128,4.012578851,6.447864013,5.349112412,5.180822011,4.439758149,4.836122408,5.373684804,2.936285743,4.398478051,8.585991612,7.705518214,7.199472455,7.364305469,8.235749032,6.365167615,8.871229241,5.831065326,7.496660478,7.212817521
Gene_105,Target,5.75139979,5.92209266,7.250077354,6.880225969,6.699147368,4.679236224,5.675679289,6.868692888,6.121964847,6.20323107,6.049540713,5.175588349,3.956155378,4.531303985,4.715096518,4.319704819,4.03594639,4.948195918,5.74119472,5.226852004
Gene_106,Target,4.799852987,5.387820245,5.793918367,4.859486042,5.455805199,3.854427093,4.750349312,4.579701725,5.195664504,5.357319514,7.876382021,7.233785777,7.070285783,8.278520611,9.356836852,7.212864405,7.615201328,8.33068056,7.44537955,8.121572315
Gene_107,Target,6.952403883,6.223748409,7.831441251,7.846307837,8.024139507,8.267996586,6.493638212,6.535518103,7.261218,7.630080977,4.660373844,4.576655192,4.381728472,6.482201891,2.491833648,4.832421966,5.038212877,3.940390397,5.385425895,3.032912316
