"Gene","Condition","Control_1","Control_2","Control_3","Control_4","Treatment_1","Treatment_2","Treatment_3","Treatment_4"
"miR-0119","Target",19.5422394667595,20.1036380042283,19.3373927242992,22.0066806908319,29.7277324655816,28.7860555297605,29.8587382427175,28.9946224184066
"miR-0120","Target",30.1561557072753,30.2336336140899,30.3555876116284,28.3781417408758,20.2207112909706,20.3104500805416,18.5788915524955,20.9553656397304
"miR-0121","Target",20.7841708790943,22.2996193611544,20.1567029873757,20.046733527518,30.0965858340824,30.0697662309003,28.1515272246623,28.3288729413578
"miR-0122","Target",29.9224610332088,29.4189326194335,30.0547365250574,27.8887916267395,18.5013017454732,18.8985165610613,20.9860582210602,18.9015099929099
"miR-0123","Target",19.2004860464235,20.0798738186741,19.6772536381749,20.146417178668,32.3050619820457,28.8753963287418,29.6945303600902,29.4832405502563
"miR-0124","Target",31.5123954268325,29.2305150771097,29.9179130962243,30.7871336143227,18.9414094640516,21.655175815742,20.6757624154742,18.9257933904696
"miR-0125","Target",20.4545778090577,19.7866928567669,20.3132287719943,19.9100248029843,31.0705160367783,28.6488996142967,29.4773833028041,29.7508093222446
"miR-0126","Target",29.0042012751487,28.9600449562338,29.9820197594233,29.8678248671433,17.4506572252496,21.0405734557194,20.2497257359852,22.4162073731483
"miR-0127","Target",20.6851982380511,19.553040691038,22.7973911469581,22.8322260239155,28.7812881837098,30.4690319559554,29.7887530813679,30.187051146554
"miR-0128","Target",30.2275427285688,28.7380995371309,30.2855895802426,31.7492473631418,19.8359099958652,19.8370732893015,21.3985720063375,20.8983962406829
"miR-0129","Target",18.3515051816187,20.2285569732622,21.6535472346777,21.4152763499191,30.4199516038142,30.7212208071129,28.8030647878113,30.3001315668814
"miR-0130","Target",29.0455510648122,29.5419819319031,30.9356036837796,28.8631068883089,20.2669182508731,20.4283320394715,20.0549119698396,21.8221888218354
"miR-0131","Target",18.9776526714247,20.6061302614356,19.9110694325493,19.7391677561661,30.4640912338524,28.9795994093161,28.6865490834816,29.5055191245166
"miR-0132","Target",31.7517571497554,30.0557647746125,30.3314343982279,29.8101533623225,20.4704927319538,19.0483204569829,21.1579104665686,20.5847052602413
"miR-0133","Target",19.1935471773083,20.054553245812,20.7163316194991,20.5577309820546,31.4819340158769,29.3870122451052,31.1161366154904,31.0365480099412
"miR-0134","Target",29.8375168680971,29.0240733071781,28.9108548091155,30.457786957945,19.9288732662791,21.7791026668515,20.5351379604962,19.6280551248365
"miR-0135","Target",18.9744577515029,19.4175983253947,20.3428883928973,19.5490653529433,30.5142301202307,29.6656619478302,29.8944400912055,29.2694903271922
"miR-0136","Target",31.9050435849087,30.3326217314704,30.2306336404995,28.3081375851159,20.6597918995493,18.9763764111203,19.1084784256457,20.9183411710216
"miR-0137","Target",19.5472993534918,18.2516277199968,21.7699041098894,17.6225930746075,30.5728115298596,31.0172492490846,29.3690321333395,30.4442870514116
"miR-0138","Target",30.4391303883886,31.0406231529145,30.4840993879525,29.7551162209075,20.9159920579402,20.8006223565098,19.0634309658642,18.5992125660043
"miR-0139","Target",20.1602775399932,19.7260376252248,19.0144608874377,20.083930679515,28.6800034735131,30.1612263513262,29.3750716124581,30.9571642741925
"miR-0140","Target",32.4244891411615,29.0840207563132,31.057664170943,30.8251497277683,19.9298057756946,19.546353625943,21.5753077068375,17.9945421817638
"miR-0141","Target",19.3568052084063,18.5631565563422,21.3953134389461,19.8092965673551,29.4753288005303,33.1840444740663,29.9499627321124,29.5562506881335
"miR-0142","Target",30.2998652501361,28.431575379245,30.4903026426721,29.90383679892,20.4685251225301,19.0176293640621,18.9770161578521,19.3065853367238
"miR-0143","Target",19.2320104269072,21.2990499666836,21.5791455618081,19.8431080469609,29.6410634394153,29.6709611695783,30.069236477853,30.0969042337011
"miR-0144","Target",30.2900343877656,29.2533210589537,29.1531036111797,31.1970776637461,19.4513726388967,20.3030456952254,19.9430294661967,19.0421506078493
"miR-0145","Target",20.5910619094115,20.173104873493,21.3997833562125,20.117459584627,29.6684542417991,30.2782949133054,28.8144083509647,29.1641059466064
"miR-0146","Target",30.5102732511394,29.6668790987761,29.9340390536475,29.8847782905781,19.3494873812255,17.9813113409176,20.3488349701766,20.7616395076469
"miR-0147","Target",18.7112837646499,21.4824027184586,20.3851548236872,21.3416402949939,29.0428295287577,30.1667812883543,29.8999860410612,30.7685074318818
"miR-0148","Target",29.4241404320873,29.9899023280475,28.2213408512561,29.2223785571295,20.1250338836651,19.2936785076118,19.9564305141885,19.5320740260748
"miR-0149","Target",20.6069301361615,21.1684883087496,19.1774985871925,19.6929634414053,31.4397612583697,27.8010767458163,29.6801622082593,32.0647042841433
"miR-0150","Target",32.1935900690643,30.1565953233501,29.1363910493864,30.1654574194904,19.347225604053,21.4528172822915,19.193517344297,20.3729115952087
"miR-0151","Target",20.6198500745687,19.2424898393042,20.8515246815062,19.2520700290837,30.630239829654,31.0966616331036,29.0115570776168,31.1079950409796
"miR-0152","Target",29.5104671287876,30.294353388437,30.2018374722888,29.5728036136618,20.2681028699978,18.7695690745762,19.863863127815,20.8257908316652
"miR-0153","Target",17.8258753507707,18.5120738126417,18.838062442403,18.4109103058546,30.4195830392964,29.007071650244,27.835452914671,29.3624312349196
"miR-0154","Target",29.6093647485252,30.8567854737781,28.8962478640012,31.1612892557387,20.3983627156286,20.3623521576355,19.1474743296855,21.953667879898
"miR-0155","Target",19.8357291679028,18.1751024158217,19.7961435286075,18.0655559292679,29.6894898842133,29.5777729968104,30.6818296904034,31.0094961857375
"miR-0156","Target",29.2738950350988,30.806108868375,31.4243231096688,29.2158559951574,19.3475956335007,20.6507783631537,20.1830479699439,20.5487749604443
"miR-0157","Target",21.4046842945476,20.3870831195764,21.0517012701754,20.6229054623372,30.4336203898089,30.3860844381844,31.2913233044581,28.9977401262893
"miR-0158","Target",28.8948172708425,30.5919460033972,29.8803103358669,30.074005211685,20.7412773771714,20.7532950478491,19.7373294966382,19.6874561310029
"miR-0159","Target",20.0735986090079,21.0630177892947,20.426020486679,21.4330075108232,29.99236312958,31.1256676052208,30.8830023110172,30.6120834609001
"miR-0160","Target",30.4147007067785,29.7201176028575,29.8909624908308,30.2293954957085,20.0488888906793,20.9432244683862,19.8906828768136,19.9296230784122
"miR-0161","Target",19.5156809124343,19.8616636714567,19.9312343576962,17.6862642261006,28.6351683027857,29.927513090048,29.7347162251355,28.7991306717926
"miR-0162","Target",28.008461823957,29.6456307800866,30.6534957656943,31.7732386319276,19.9615432062907,21.4931848406277,20.083022157636,20.1155321042596
"miR-0163","Target",20.3248253133487,19.1294227547391,19.9482817871051,20.9084476987923,29.2502742131478,29.678393930112,28.8522292495407,30.3543521964494
"miR-0164","Target",30.424799782389,30.6483473512241,28.7801899684831,30.1072350347548,19.0559423083502,19.999615351284,21.3426239200061,19.4964747130657
"miR-0165","Target",20.7166833209388,19.2503314159163,19.5214717895497,20.4387217505866,29.3208877295421,28.2970351648546,31.2651684352133,30.3603572378798
"miR-0166","Target",29.4163605594399,28.0059212126694,31.9022097713993,33.3903708212715,20.2074804073555,20.8498066475112,21.2245603120742,19.2981955664614
"miR-0167","Target",19.6488037704435,18.2728789633548,19.2634217677281,20.6224097828861,29.7092840107591,29.7857884658169,29.8874404484975,28.1363330175044
"miR-0168","Target",30.8376299342317,28.5565071110646,29.7914298375844,29.5614365379412,19.7814061831438,21.4599659447358,19.4179400820846,19.2169024042881
"miR-0169","Target",18.4803460050562,19.1943019183887,18.8338152926323,20.4079461962483,29.1369957539921,30.3040420350281,29.8535725121521,28.5664378200892
"miR-0170","Target",29.2093922142773,30.8851124550577,30.9030760859546,32.0055732743006,19.9964196916002,18.5041731860179,19.2315829729848,20.4084885048401
"miR-0171","Target",21.9001363348947,20.1100091234397,21.1403868251285,20.7680813046923,28.8319083778827,29.8288873477351,31.3052615363477,30.8760961095959
"miR-0172","Target",30.4637961415678,30.4771142453769,29.5085946997906,28.6806146866558,21.2954257908313,18.5797805083331,19.0611040802942,20.6289649925198
"miR-0173","Target",18.7378054506104,19.4481295867272,18.8172004932175,20.6206635577289,30.4463130166381,30.4218846932737,30.4424647721456,30.5572457463789
"miR-0174","Target",30.6393564919705,28.0313384433258,29.8511836386401,30.1124638125519,20.7246762026478,18.8125139239947,19.5003998101841,18.9263570092488
"miR-0175","Target",21.0572402127097,21.2790725832093,20.7876767253592,18.777596617423,30.4519521167367,31.1504491863809,30.1679409807365,29.433890667104
"miR-0176","Target",28.9138817593887,29.3346972044398,30.7148483559493,29.5683388996181,20.2276149399401,21.2949457956703,20.5783349404695,21.3646727814735
"miR-0177","Target",18.2984201973396,19.7193237202862,20.0650680194922,20.5785892916085,28.830793378471,30.8061848554473,30.3073900761623,30.2638060136047
"miR-0178","Target",30.508484791605,29.883641560123,30.9255460984991,30.6482297737315,19.8497906258323,21.0403770193407,20.2925586849462,20.6687513994395
"miR-0179","Target",19.4058223583758,21.5804318369859,19.99601105565,20.8478427688935,29.8998834741073,29.7203700930194,30.78443824528,28.4153833554088
"miR-0180","Target",30.478366147794,30.3935663729948,27.3046706308755,30.3683773285333,17.831582252653,20.6598043768927,19.5460862666188,19.3050631747651
"miR-0181","Target",19.9931536968273,21.373052044984,19.3646769227821,20.5581032939488,30.3411578684219,28.8204813708584,28.258977982666,28.0074142287609
"miR-0182","Target",30.5512742114679,29.9652579384687,31.8505717036106,30.573675108263,20.8496958910826,21.334383585335,19.499280902035,20.5100979282285
"miR-0183","Target",20.8687932702442,21.369351688003,20.7626511463264,20.4211471730373,29.1317759527288,30.7295603609577,30.5002658724183,30.6342502537069
"miR-0184","Target",30.4236450455723,29.79816195529,29.923134101566,30.6873641132815,20.1716315069245,19.169891425673,19.7098408801943,18.6808742758235
"miR-0185","Target",19.0329680973311,19.8553889298645,18.2018674436251,18.3114575254084,31.1025651994361,29.4233810757886,28.1483082704485,29.887136760571
"miR-0186","Target",31.3210692672215,30.6622542969346,30.4413831983536,31.1837459122798,19.2284985588991,20.729689191352,19.4129143842211,20.0007641863625
"miR-0187","Target",22.2144653193401,20.9694343957093,20.7680077137172,18.8916720881818,29.2137640800053,32.2841164802616,28.9066992360267,30.2144793752851
"miR-0188","Target",30.8925710596371,31.0187579723423,31.0891120109192,29.8368710101148,19.17901330288,19.6927427670114,19.0979019914605,20.627068743115
"miR-0189","Target",21.1203550284261,22.1272135524935,20.3661143829317,19.1252186228063,31.0244748629932,30.9047588936953,29.7617513040972,28.4421450961277
